territory_id,city,state,slug,url,audited_status,recommended_focus,dataset_scope_note
T20,Kennesaw,GA,roofing-company-kennesaw-ga,https://inspector-roofing.com/roofing-company-kennesaw-ga/,live,Cobb County repair/replacement/storm proof,Cobb County repair/replacement/storm proof; local review/proof modules.
T21,Lawrenceville,GA,lawrenceville-roofing-company,https://inspector-roofing.com/lawrenceville-roofing-company/,live,Audit copy for template residue,Audit copy for template residue; one opened snapshot appeared to mention another company name in body copy.
T22,Lilburn,GA,lilburn-roofing-company,https://inspector-roofing.com/lilburn-roofing-company/,live,Gwinnett repair/inspection/storm documentation context.,Gwinnett repair/inspection/storm documentation context.
T23,Loganville,GA,loganville-roofing-company,https://inspector-roofing.com/loganville-roofing-company/,redirects_to_homepage,Restore unique Loganville page only if supported by real service context and proof.,Restore unique Loganville page only if supported by real service context and proof.
T24,Marietta,GA,roofing-company-marietta-ga,https://inspector-roofing.com/roofing-company-marietta-ga/,live,"Cobb County high-value replacement, repair, storm documentation, trusted/review proof.","Cobb County high-value replacement, repair, storm documentation, trusted/review proof."
T25,Milton,GA,roofing-company-milton-ga,https://inspector-roofing.com/roofing-company-milton-ga/,live,"HOA, replacement planning, material fit, neighborhood appearance, documentation-first decisions.","HOA, replacement planning, material fit, neighborhood appearance, documentation-first decisions."
T26,Norcross,GA,norcross-roofing-company,https://inspector-roofing.com/norcross-roofing-company/,live,Gwinnett/North Atlanta service-area proof,Gwinnett/North Atlanta service-area proof; repair and inspection documentation.
T27,Peachtree Corners,GA,roofing-company-peachtree-corners-ga,https://inspector-roofing.com/roofing-company-peachtree-corners-ga/,live,North metro/Gwinnett trust-intent page,North metro/Gwinnett trust-intent page; inspection-first and replacement context.
T28,Roswell,GA,roofing-company-roswell-ga,https://inspector-roofing.com/roofing-company-roswell-ga/,live,Storm and repair cluster,Storm and repair cluster; roof leak inspection and documentation proof.
T29,Sandy Springs,GA,roofing-company-sandy-springs-ga,https://inspector-roofing.com/roofing-company-sandy-springs-ga/,live,"Emergency leak, urban tree cover, repair documentation, dense-service-area competition.","Emergency leak, urban tree cover, repair documentation, dense-service-area competition."
T30,Smyrna,GA,smyrna-roofing-company,https://inspector-roofing.com/smyrna-roofing-company/,live,Cobb/Northwest Atlanta repair/replacement/storm context.,Cobb/Northwest Atlanta repair/replacement/storm context.
T31,Snellville,GA,snellville-roofing-company,https://inspector-roofing.com/snellville-roofing-company/,redirects_to_homepage,Restore unique Snellville page only if supported by real service context and proof.,Restore unique Snellville page only if supported by real service context and proof.
T32,Sugar Hill,GA,sugar-hill-roofing-company,https://inspector-roofing.com/sugar-hill-roofing-company/,redirects_to_homepage,Restore unique Sugar Hill page only if supported by real service context and proof.,Restore unique Sugar Hill page only if supported by real service context and proof.
T33,Suwanee,GA,suwanee-roofing-company,https://inspector-roofing.com/suwanee-roofing-company/,live,Forsyth/Gwinnett edge,"Forsyth/Gwinnett edge; replacement planning, inspection proof, local review trust."
T34,Tucker,GA,tucker-roofing-company,https://inspector-roofing.com/tucker-roofing-company/,redirects_to_homepage,Restore unique Tucker page only if supported by real service context and proof.,Restore unique Tucker page only if supported by real service context and proof.
T35,Winder,GA,winder-roofing-company,https://inspector-roofing.com/winder-roofing-company/,redirects_to_homepage,Restore unique Winder page only if supported by real service context and proof.,Restore unique Winder page only if supported by real service context and proof.
T36,Woodstock,GA,woodstock-roofing-company,https://inspector-roofing.com/woodstock-roofing-company/,live,Cherokee County repair/replacement/storm documentation and trust proof.,Cherokee County repair/replacement/storm documentation and trust proof.
