template_id,query_template,modifier_family,intent_class,priority,old_google_interpretation,today_google_interpretation,algorithm_era_fit,recommended_page_role,page_creation_recommendation,primary_trust_signal,territory_count
Q028,reliable roof repair in {city},reliable,repair_trust,medium,organic/local pack,AI repair answer,"mixed intent; route through service page, FAQ, or trust hub",roof repair page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",timely documentation and repair clarity,36
Q029,reliable roof replacement company {city},reliable,replacement_trust,medium,organic,AI replacement comparison,"mixed intent; route through service page, FAQ, or trust hub",roof replacement page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",process and warranty/manufacturer proof,36
Q030,recommended roofers in {city},recommended,review_recommendation,medium,reviews/local,AI recommendation answer,"mixed intent; route through service page, FAQ, or trust hub",reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews and social proof,36
Q031,recommended roofing company in {city},recommended,review_recommendation,medium,reviews/local,AI recommendation answer,"mixed intent; route through service page, FAQ, or trust hub",reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews and third-party proof,36
Q032,recommended roofing contractors in {city},recommended,review_recommendation,medium,reviews/local,AI recommendation answer,"mixed intent; route through service page, FAQ, or trust hub",reviews hub and service pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews and proof,36
Q033,best reviewed roofers in {city},reviewed,reviews_comparison,medium,reviews/local,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",rating/review content,36
Q034,best reviewed roofing company in {city},reviewed,reviews_comparison,medium,reviews/local,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",rating/review content,36
Q035,5 star roofers in {city},reviewed,reviews_comparison,medium,GBP/reviews,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review score and count,36
Q036,5 star roofing company in {city},reviewed,reviews_comparison,medium,GBP/reviews,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review score and count,36
Q037,highly rated roofers in {city},reviewed,reviews_comparison,medium,GBP/reviews,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review score and sentiment,36
Q038,highly rated roofing contractors in {city},reviewed,reviews_comparison,medium,GBP/reviews,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review score and sentiment,36
Q039,BBB accredited roofers in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",BBB profile/accreditation,36
Q040,BBB accredited roofing contractors in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",BBB profile/accreditation,36
Q041,Better Business Bureau roofers {city},credential,trust_research,medium,organic/research,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",BBB external identity,36
Q042,licensed roofers in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",license/registration context,36
Q043,licensed roofing contractors in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",license/registration context,36
Q044,licensed and insured roofers in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",insurance certificate/process,36
Q045,insured roofing contractors in {city},credential,trust_verification,medium,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",insurance proof,36
Q046,certified roofing company in {city},certified,trust_verification,medium,organic/local trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",manufacturer certification,36
Q047,certified roofers in {city},certified,trust_verification,medium,organic/local trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",manufacturer certification,36
Q048,GAF certified roofers in {city},certified,manufacturer_trust,medium,organic/manufacturer trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",GAF certification,36
Q049,Owens Corning certified roofers in {city},certified,manufacturer_trust,medium,organic/manufacturer trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",Owens Corning certification,36
Q050,CertainTeed certified roofers in {city},certified,manufacturer_trust,medium,organic/manufacturer trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",CertainTeed certification,36
Q051,Master Elite roofing contractor in {city},certified,manufacturer_trust,medium,organic/manufacturer trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",Master Elite certification,36
Q052,verified roofing contractors in {city},verified,trust_verification,medium,organic/local trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",trusted contractor checklist,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",verification criteria,36
Q053,vetted roofers in {city},verified,trust_verification,medium,organic/local trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",trusted contractor checklist,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",criteria and citations,36
Q054,professional roofers in {city},professional,trust_hiring,medium,organic/local,AI local answer,"mixed intent; route through service page, FAQ, or trust hub",service pages,Support phrase.,"photos, reviews, NAP consistency",36
Q055,honest roofing company in {city},trusted,trust_hiring,medium,organic/local,AI trust-intent answer,current trust-intent query; strongest fit for entity proof and answer readiness,trust philosophy page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",process transparency,36
Q056,local roofing company with good reviews {city},reviewed,review_research,medium,organic/reviews,AI conversational answer,local prominence query; support with review corpus and response quality,reviews hub and city pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review proof,36
