matrix_id,territory_id,city,state,territory_url,territory_status,template_id,localized_query,modifier_family,intent_class,priority,recommended_page_role,page_creation_recommendation,old_google_surface,new_google_surface,primary_trust_signal,algorithm_era_ids,before_vs_today_recommendation,phrase_bridge_file,city_association_file,github_repository,predecessor_ai_visibility_doi
M00011,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q011,trusted roofing company in Acworth,trusted,trust_hiring,high,trusted roofing hub plus city page proof module,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI answer trusted-provider queries,entity consistency and documentation,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00012,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q012,trusted roofers in Acworth,trusted,trust_hiring,high,trusted roofing hub plus GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI answer trusted-provider queries,"reviews, proof photos, certifications",E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00013,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q013,trusted roofing contractors in Acworth,trusted,trust_hiring,high,trusted roofing hub plus service pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI answer trusted-provider queries,"licensing, insurance, BBB, reviews",E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00014,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q014,trusted local roofing company Acworth,trusted,trust_hiring,high,homepage trust section and trust hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/homepage,AI summaries/entity resolution,source spine and local proof,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00015,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q015,trusted roof repair in Acworth,trusted,repair_trust,high,roof repair page and emergency page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI answer leak/repair queries,"inspection-first process, photos, reviews",E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00016,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q016,trusted roof replacement company in Acworth,trusted,replacement_trust,high,roof replacement page and trust hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI commercial comparison,replacement documentation and material guidance,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00017,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q017,trusted storm damage roofer Acworth,trusted,storm_trust,high,storm damage page and insurance-adjacent FAQ,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/storm intent,AI storm damage answer,storm documentation and claim-verifiability,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00018,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q018,trusted hail damage roofing contractor Acworth,trusted,hail_trust,high,hail damage inspection page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/storm intent,AI storm damage answer,"photo documentation, negative evidence",E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00019,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q019,trusted insurance claim roofer Acworth,trusted,insurance_adjacent,medium,insurance documentation FAQ,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/claim research,AI insurance-adjacent answers,claim-ready roof file and boundaries,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00020,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q020,reputable roofing contractors in Acworth,reputable,trust_hiring,high,trusted/reputable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI trusted-provider queries,third-party citations and reviews,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00021,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q021,reputable roofers in Acworth,reputable,trust_hiring,high,trusted/reputable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI trusted-provider queries,reviews and entity agreement,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00022,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q022,reputable roofing company in Acworth,reputable,trust_hiring,high,trusted/reputable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI trusted-provider queries,"business identity, BBB, reviews",E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00023,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q023,reputable roof repair company in Acworth,reputable,repair_trust,medium,roof repair page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI repair answer,inspection and repair documentation,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00024,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q024,reputable roof replacement company in Acworth,reputable,replacement_trust,medium,roof replacement page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI replacement comparison,replacement documentation,E06|E07|E08,"Use as proof-led trust intent; support with reviews, profiles, structured data, photos, local facts, and source spine.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00025,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q025,reliable roofing company in Acworth,reliable,trust_hiring,medium,trusted/reliable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI local recommendation,"response clarity, reviews, photos",E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00026,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q026,reliable roofers in Acworth,reliable,trust_hiring,medium,trusted/reliable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI local recommendation,reviews and business consistency,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00027,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q027,reliable roofing contractors in Acworth,reliable,trust_hiring,medium,service and trust pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI local recommendation,credentials and proof,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00028,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q028,reliable roof repair in Acworth,reliable,repair_trust,medium,roof repair page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local pack,AI repair answer,timely documentation and repair clarity,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00029,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q029,reliable roof replacement company Acworth,reliable,replacement_trust,medium,roof replacement page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic,AI replacement comparison,process and warranty/manufacturer proof,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00030,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q030,recommended roofers in Acworth,recommended,review_recommendation,medium,reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews/local,AI recommendation answer,reviews and social proof,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00031,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q031,recommended roofing company in Acworth,recommended,review_recommendation,medium,reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews/local,AI recommendation answer,reviews and third-party proof,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00032,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q032,recommended roofing contractors in Acworth,recommended,review_recommendation,medium,reviews hub and service pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews/local,AI recommendation answer,reviews and proof,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00033,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q033,best reviewed roofers in Acworth,reviewed,reviews_comparison,medium,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews/local,AI review synthesis,rating/review content,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00034,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q034,best reviewed roofing company in Acworth,reviewed,reviews_comparison,medium,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews/local,AI review synthesis,rating/review content,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00035,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q035,5 star roofers in Acworth,reviewed,reviews_comparison,medium,reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",GBP/reviews,AI review synthesis,review score and count,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00036,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q036,5 star roofing company in Acworth,reviewed,reviews_comparison,medium,reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",GBP/reviews,AI review synthesis,review score and count,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00037,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q037,highly rated roofers in Acworth,reviewed,reviews_comparison,medium,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",GBP/reviews,AI review synthesis,review score and sentiment,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00038,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q038,highly rated roofing contractors in Acworth,reviewed,reviews_comparison,medium,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",GBP/reviews,AI review synthesis,review score and sentiment,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00039,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q039,BBB accredited roofers in Acworth,credential,trust_verification,high,credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local trust,AI trust verification,BBB profile/accreditation,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00040,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q040,BBB accredited roofing contractors in Acworth,credential,trust_verification,high,credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local trust,AI trust verification,BBB profile/accreditation,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00041,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q041,Better Business Bureau roofers Acworth,credential,trust_research,medium,credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/research,AI trust verification,BBB external identity,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00042,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q042,licensed roofers in Acworth,credential,trust_verification,high,credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local trust,AI trust verification,license/registration context,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00043,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q043,licensed roofing contractors in Acworth,credential,trust_verification,high,credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local trust,AI trust verification,license/registration context,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00044,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q044,licensed and insured roofers in Acworth,credential,trust_verification,high,credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local trust,AI trust verification,insurance certificate/process,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00045,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q045,insured roofing contractors in Acworth,credential,trust_verification,medium,credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local trust,AI trust verification,insurance proof,E06|E08,"Use only where review or credential claims are current, visible, and verifiable.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00046,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q046,certified roofing company in Acworth,certified,trust_verification,medium,manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local trust,AI trust verification,manufacturer certification,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00047,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q047,certified roofers in Acworth,certified,trust_verification,medium,manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/local trust,AI trust verification,manufacturer certification,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00048,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q048,GAF certified roofers in Acworth,certified,manufacturer_trust,medium,manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",organic/manufacturer trust,AI trust verification,GAF certification,E05|E06|E07,"Route through service-intent content, FAQs, and trust proof rather than exact-match pages.",data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
